series,author,gender,author_pos,release_year,location_pos,location_name
Band 1655,Arndt Ellmer,male,a1,1993.0,l1,Tachant und Noman
Band 1656,Peter Terrid,male,a1,1993.0,l1,Noman
Band 1657,Horst Hoffmann,male,a1,1993.0,l1,Mystery
Band 1658,Robert Feldhoff,male,a1,1993.0,l1,Terra
Band 1658,Robert Feldhoff,male,a1,1993.0,l2,Titan
Band 1658,Robert Feldhoff,male,a1,1993.0,l3,verschiedene Orte
Band 1659,H. G. Francis,male,a1,1993.0,l1,Neu-Paricz
Band 1659,H. G. Francis,male,a1,1993.0,l2,Makkom
Band 166,Kurt Mahr,male,a1,1964.0,l1,Eysal
Band 1660,Ernst Vlcek,male,a1,1993.0,l1,Hangay
Band 1661,Kurt Mahr,male,a1,1993.0,l1,Pulsar Borgia
Band 1661,Kurt Mahr,male,a1,1993.0,l2,Shaft
Band 1662,Susan Schwartz,female,a1,1993.0,l1,Tornister
Band 1663,Peter Griese,male,a1,1993.0,l1,Tornister
Band 1664,Peter Terrid,male,a1,1993.0,l1,Sloughar
Band 1665,Horst Hoffmann,male,a1,1993.0,l1,Trantar
Band 1666,Horst Hoffmann,male,a1,1993.0,l1,Trantar
Band 1667,Robert Feldhoff,male,a1,1993.0,l1,Canaxu
Band 1668,Robert Feldhoff,male,a1,1993.0,l1,Canaxu
Band 1669,Ernst Vlcek,male,a1,1993.0,l1,Shaft
Band 167,Kurt Mahr,male,a1,1964.0,l1,Terra
Band 167,Kurt Mahr,male,a1,1964.0,l2,Apas
Band 167,Kurt Mahr,male,a1,1964.0,l3,Kohnla
Band 1670,H. G. Ewers,male,a1,1993.0,l1,Mora- und Cruyon-System
Band 1671,Arndt Ellmer,male,a1,1993.0,l1,Solsystem
Band 1672,H. G. Francis,male,a1,1993.0,l1,Mystery
Band 1673,Susan Schwartz,female,a1,1993.0,l1,Mystery
Band 1674,Peter Griese,male,a1,1993.0,l1,Mystery
Band 1674,Peter Griese,male,a1,1993.0,l2,Droph
Band 1674,Peter Griese,male,a1,1993.0,l3,Punkt Zaligo
Band 1675,Peter Griese,male,a1,1993.0,l1,Pulsar Borgia
Band 1676,Peter Terrid,male,a1,1993.0,l1,Pulsar Borgia
Band 1676,Peter Terrid,male,a1,1993.0,l2,Noman
Band 1677,Robert Feldhoff,male,a1,1993.0,l1,Noman
Band 1677,Robert Feldhoff,male,a1,1993.0,l2,Die Große Leere
Band 1678,Arndt Ellmer,male,a1,1993.0,l1,Pulsar Borgia
Band 1678,Arndt Ellmer,male,a1,1993.0,l2,Charon
Band 1679,Horst Hoffmann,male,a1,1993.0,l1,Charon
Band 1679,Horst Hoffmann,male,a1,1993.0,l2,Pulsar Borgia
Band 168,William Voltz,male,a1,1964.0,l1,ESS-1
Band 168,William Voltz,male,a1,1964.0,l2,Verth-System
Band 1680,Ernst Vlcek,male,a1,1993.0,l1,Charon
Band 1681,Susan Schwartz,female,a1,1993.0,l1,Pulsar Borgia
Band 1682,Peter Terrid,male,a1,1993.0,l1,Coma-6
Band 1682,Peter Terrid,male,a1,1993.0,l2,Coma-9
Band 1682,Peter Terrid,male,a1,1993.0,l3,Coma-10
Band 1683,H. G. Francis,male,a1,1993.0,l1,Titan
Band 1683,H. G. Francis,male,a1,1993.0,l2,Kleinor
Band 1684,Arndt Ellmer,male,a1,1993.0,l1,Coma-3
Band 1684,Arndt Ellmer,male,a1,1993.0,l2,Seriphos-System
Band 1684,Arndt Ellmer,male,a1,1993.0,l3,Sheokor-System
Band 1685,Peter Griese,male,a1,1993.0,l1,Titan
Band 1685,Peter Griese,male,a1,1993.0,l2,Humanidrom
Band 1685,Peter Griese,male,a1,1993.0,l3,Klaphor
Band 1685,Peter Griese,male,a1,1993.0,l4,Sheokor-System
Band 1686,Horst Hoffmann,male,a1,1993.0,l1,Halut
Band 1686,Horst Hoffmann,male,a1,1993.0,l2,Solsystem
Band 1687,Robert Feldhoff,male,a1,1993.0,l1,Solsystem
Band 1688,Robert Feldhoff,male,a1,1993.0,l1,Solsystem
Band 1688,Robert Feldhoff,male,a1,1993.0,l2,Piulin-System
Band 1688,Robert Feldhoff,male,a1,1993.0,l3,WILD MAN-System
Band 1688,Robert Feldhoff,male,a1,1993.0,l4,Euthets Stern
Band 1688,Robert Feldhoff,male,a1,1993.0,l5,Taquar
Band 1689,Susan Schwartz,female,a1,1994.0,l1,Milchstraße
Band 169,K. H. Scheer,male,a1,1964.0,l1,Gatas
Band 1690,Peter Terrid,male,a1,1994.0,l1,Milchstraße
Band 1691,Arndt Ellmer,male,a1,1994.0,l1,Milchstraße
Band 1692,Horst Hoffmann,male,a1,1994.0,l1,Milchstraße
Band 1693,Peter Griese,male,a1,1994.0,l1,Solsystem
Band 1694,H. G. Francis,male,a1,1994.0,l1,Luna
Band 1695,Ernst Vlcek,male,a1,1994.0,l1,Solsystem
Band 1696,Peter Terrid,male,a1,1994.0,l1,Solsystem
Band 1697,Arndt Ellmer,male,a1,1994.0,l1,Flug zur Großen Leere
Band 1697,Arndt Ellmer,male,a1,1994.0,l2,Sampler-Planeten
Band 1698,Susan Schwartz,female,a1,1994.0,l1,Großen Leere
Band 1699,Horst Hoffmann,male,a1,1994.0,l1,Große Leere
Band 17,Kurt Mahr,male,a1,1961.0,l1,Tramp
Band 170,Kurt Brand,male,a1,1964.0,l1,Terra
Band 170,Kurt Brand,male,a1,1964.0,l2,Tombstone
Band 170,Kurt Brand,male,a1,1964.0,l3,Brulab-1
Band 170,Kurt Brand,male,a1,1964.0,l4,Brulab-2
Band 170,Kurt Brand,male,a1,1964.0,l5,Brulab-3
Band 1700,Robert Feldhoff,male,a1,1994.0,l1,Charon
Band 1700,Robert Feldhoff,male,a1,1994.0,l2,STYX
Band 1700,Robert Feldhoff,male,a1,1994.0,l3,BASIS
Band 1701,Peter Griese,male,a1,1994.0,l1,Große Leere
Band 1702,Horst Hoffmann,male,a1,1994.0,l1,Arresum
Band 1703,Peter Terrid,male,a1,1994.0,l1,Arresum
Band 1704,Arndt Ellmer,male,a1,1994.0,l1,Daffish-System
Band 1704,Arndt Ellmer,male,a1,1994.0,l2,Aariam-System
Band 1705,Peter Terrid,male,a1,1994.0,l1,Thyssan-System
Band 1705,Peter Terrid,male,a1,1994.0,l2,Arresum
Band 1706,Ernst Vlcek,male,a1,1994.0,l1,Ruulem
Band 1706,Ernst Vlcek,male,a1,1994.0,l2,Arresum
Band 1707,Robert Feldhoff,male,a1,1994.0,l1,Daffish-System
Band 1707,Robert Feldhoff,male,a1,1994.0,l2,Aariam-System
Band 1708,Robert Feldhoff,male,a1,1994.0,l1,Solsystem
Band 1709,Arndt Ellmer,male,a1,1994.0,l1,Solsystem
Band 171,Clark Darlton,male,a1,1964.0,l1,Brulab-3 / Trio
Band 1710,H. G. Ewers,male,a1,1994.0,l1,Große Magellansche Wolke
Band 1711,Peter Griese,male,a1,1994.0,l1,Solsystem
Band 1712,Horst Hoffmann,male,a1,1994.0,l1,Große Leere
Band 1713,Susan Schwartz,female,a1,1994.0,l1,Arresum
Band 1714,Ernst Vlcek,male,a1,1994.0,l1,Arresum
Band 1715,Peter Terrid,male,a1,1994.0,l1,Arresum
Band 1716,Arndt Ellmer,male,a1,1994.0,l1,Solsystem
Band 1717,Peter Griese,male,a1,1994.0,l1,Solsystem
Band 1718,H. G. Ewers,male,a1,1994.0,l1,Große Magellansche Wolke
Band 1719,Horst Hoffmann,male,a1,1994.0,l1,Solsystem
Band 172,Kurt Mahr,male,a1,1964.0,l1,Trap
Band 1720,Susan Schwartz,female,a1,1994.0,l1,Arresum
Band 1721,Robert Feldhoff,male,a1,1994.0,l1,Arresum
Band 1722,Robert Feldhoff,male,a1,1994.0,l1,Arresum
Band 1723,Peter Terrid,male,a1,1994.0,l1,Arresum
Band 1724,Arndt Ellmer,male,a1,1994.0,l1,Milchstraße
Band 1724,Arndt Ellmer,male,a1,1994.0,l2,Große Magellansche Wolke
Band 1725,Peter Griese,male,a1,1994.0,l1,Milchstraße
Band 1725,Peter Griese,male,a1,1994.0,l2,Große Magellansche Wolke
Band 1726,H. G. Ewers,male,a1,1994.0,l1,Große Magellansche Wolke
Band 1727,Peter Terrid,male,a1,1994.0,l1,Arresum
Band 1728,Horst Hoffmann,male,a1,1994.0,l1,Arresum
Band 1728,Horst Hoffmann,male,a1,1994.0,l2,Solsystem
Band 1729,H. G. Francis,male,a1,1994.0,l1,Arresum
Band 173,K. H. Scheer,male,a1,1964.0,l1,Gatas
Band 1730,Susan Schwartz,female,a1,1994.0,l1,Arresum
Band 1731,Ernst Vlcek,male,a1,1994.0,l1,BASIS
Band 1732,Ernst Vlcek,male,a1,1994.0,l1,Arresum
Band 1733,Arndt Ellmer,male,a1,1994.0,l1,Arresum
Band 1733,Arndt Ellmer,male,a1,1994.0,l2,Aariam-System
Band 1734,Peter Griese,male,a1,1994.0,l1,Milchstraße
Band 1735,Peter Griese,male,a1,1994.0,l1,Milchstraße
Band 1736,Horst Hoffmann,male,a1,1994.0,l1,Arresum
Band 1737,Horst Hoffmann,male,a1,1994.0,l1,Arresum
Band 1738,Susan Schwartz,female,a1,1994.0,l1,Aariam-System
Band 1739,Susan Schwartz,female,a1,1994.0,l1,Shaft
Band 174,William Voltz,male,a1,1965.0,l1,Terra
Band 174,William Voltz,male,a1,1965.0,l2,Tauta
Band 1740,H. G. Francis,male,a1,1994.0,l1,Shaft
Band 1740,H. G. Francis,male,a1,1994.0,l2,BASIS
Band 1741,Arndt Ellmer,male,a1,1995.0,l1,BASIS
Band 1742,Robert Feldhoff,male,a1,1995.0,l1,Solsystem
Band 1743,Peter Terrid,male,a1,1995.0,l1,Solsystem
Band 1744,Peter Griese,male,a1,1995.0,l1,BASIS
Band 1744,Peter Griese,male,a1,1995.0,l2,Arresum
Band 1745,Ernst Vlcek,male,a1,1995.0,l1,Solsystem
Band 1745,Ernst Vlcek,male,a1,1995.0,l2,Fornax
Band 1746,H. G. Francis,male,a1,1995.0,l1,BASIS
Band 1746,H. G. Francis,male,a1,1995.0,l2,Arresum
Band 1747,Peter Terrid,male,a1,1995.0,l1,BASIS
Band 1747,Peter Terrid,male,a1,1995.0,l2,Arresum
Band 1748,Horst Hoffmann,male,a1,1995.0,l1,Arresum
Band 1749,Horst Hoffmann,male,a1,1995.0,l1,Solsystem
Band 175,Kurt Brand,male,a1,1965.0,l1,Terra
Band 175,Kurt Brand,male,a1,1965.0,l2,Aralon
Band 175,Kurt Brand,male,a1,1965.0,l3,das All
Band 175,Kurt Brand,male,a1,1965.0,l4,Brulab-1
Band 1750,Robert Feldhoff,male,a1,1995.0,l1,Milchstraße
Band 1750,Robert Feldhoff,male,a1,1995.0,l2,Coma-6
Band 1751,Arndt Ellmer,male,a1,1995.0,l1,Große Leere
Band 1751,Arndt Ellmer,male,a1,1995.0,l2,Hirdobaan
Band 1752,Hubert Haensel,male,a1,1995.0,l1,Hirdobaan
Band 1753,Peter Terrid,male,a1,1995.0,l1,Hirdobaan
Band 1754,Susan Schwartz,female,a1,1995.0,l1,Hirdobaan
Band 1755,Peter Griese,male,a1,1995.0,l1,Hirdobaan
Band 1756,H. G. Francis,male,a1,1995.0,l1,Hirdobaan
Band 1757,Horst Hoffmann,male,a1,1995.0,l1,Hirdobaan
Band 1758,Robert Feldhoff,male,a1,1995.0,l1,Hirdobaan
Band 1759,Hubert Haensel,male,a1,1995.0,l1,Hirdobaan
Band 176,Kurt Brand,male,a1,1965.0,l1,Terra
Band 176,Kurt Brand,male,a1,1965.0,l2,Giungla
Band 176,Kurt Brand,male,a1,1965.0,l3,Aralon
Band 176,Kurt Brand,male,a1,1965.0,l4,das All
Band 1760,H. G. Francis,male,a1,1995.0,l1,Hirdobaan
Band 1761,Peter Terrid,male,a1,1995.0,l1,Hirdobaan
Band 1762,Arndt Ellmer,male,a1,1995.0,l1,Hirdobaan
Band 1763,Horst Hoffmann,male,a1,1995.0,l1,Hirdobaan
Band 1764,Horst Hoffmann,male,a1,1995.0,l1,Hirdobaan
Band 1765,Susan Schwartz,female,a1,1995.0,l1,Hirdobaan
Band 1766,Arndt Ellmer,male,a1,1995.0,l1,Hirdobaan
Band 1767,Peter Griese,male,a1,1995.0,l1,Hirdobaan
Band 1768,Ernst Vlcek,male,a1,1995.0,l1,Hirdobaan
Band 1769,Robert Feldhoff,male,a1,1995.0,l1,Hirdobaan
Band 177,Clark Darlton,male,a1,1965.0,l1,das All
Band 177,Clark Darlton,male,a1,1965.0,l2,Gatas
Band 1770,Robert Feldhoff,male,a1,1995.0,l1,Hirdobaan
Band 1771,H. G. Francis,male,a1,1995.0,l1,Hirdobaan
Band 1771,H. G. Francis,male,a1,1995.0,l2,Queeneroch
Band 1772,Hubert Haensel,male,a1,1995.0,l1,Hirdobaan
Band 1773,Hubert Haensel,male,a1,1995.0,l1,Hirdobaan
Band 1774,Peter Griese,male,a1,1995.0,l1,Hirdobaan
Band 1775,Susan Schwartz,female,a1,1995.0,l1,Hirdobaan
Band 1776,Peter Terrid,male,a1,1995.0,l1,Hirdobaan
Band 1777,H. G. Francis,male,a1,1995.0,l1,Hirdobaan
Band 1777,H. G. Francis,male,a1,1995.0,l2,Queeneroch
Band 1778,Arndt Ellmer,male,a1,1995.0,l1,Hirdobaan
Band 1778,Arndt Ellmer,male,a1,1995.0,l2,Llongaga
Band 1778,Arndt Ellmer,male,a1,1995.0,l3,Ballandyne
Band 1779,Horst Hoffmann,male,a1,1995.0,l1,Hirdobaan
Band 178,Kurt Mahr,male,a1,1965.0,l1,Akon
Band 178,Kurt Mahr,male,a1,1965.0,l2,das All
Band 178,Kurt Mahr,male,a1,1965.0,l3,Tombstone
Band 1780,Robert Feldhoff,male,a1,1995.0,l1,Hirdobaan
Band 1781,Peter Griese,male,a1,1995.0,l1,Hirdobaan
Band 1782,Peter Terrid,male,a1,1995.0,l1,Hirdobaan
Band 1783,H. G. Francis,male,a1,1995.0,l1,Hirdobaan
Band 1784,Hubert Haensel,male,a1,1995.0,l1,Hirdobaan
Band 1785,Arndt Ellmer,male,a1,1995.0,l1,Hirdobaan
Band 1786,Robert Feldhoff,male,a1,1995.0,l1,Hirdobaan
Band 1787,Horst Hoffmann,male,a1,1995.0,l1,Hirdobaan
Band 1788,Susan Schwartz,female,a1,1995.0,l1,Hirdobaan
Band 1789,Peter Griese,male,a1,1995.0,l1,Hirdobaan
Band 179,K. H. Scheer,male,a1,1965.0,l1,Das All
Band 179,K. H. Scheer,male,a1,1965.0,l2,Beauly II
Band 1790,Robert Feldhoff,male,a1,1995.0,l1,Hirdobaan
Band 1791,Peter Terrid,male,a1,1995.0,l1,Hirdobaan
Band 1792,Horst Hoffmann,male,a1,1995.0,l1,Hirdobaan
Band 1793,Hubert Haensel,male,a1,1996.0,l1,Hirdobaan
Band 1794,H. G. Francis,male,a1,1996.0,l1,Hirdobaan
Band 1795,Ernst Vlcek,male,a1,1996.0,l1,Hirdobaan
Band 1796,Susan Schwartz,female,a1,1996.0,l1,Hirdobaan
Band 1797,Arndt Ellmer,male,a1,1996.0,l1,Queeneroch
Band 1798,Peter Terrid,male,a1,1996.0,l1,Queeneroch
Band 1799,Horst Hoffmann,male,a1,1996.0,l1,Queeneroch und Hirdobaan
Band 18,Clark Darlton,male,a1,1962.0,l1,Tuglan
Band 180,William Voltz,male,a1,1965.0,l1,Beaulys Stern
Band 1800,Robert Feldhoff,male,a1,1996.0,l1,Mächtigkeitsballung ES
Band 1801,Robert Feldhoff,male,a1,1996.0,l1,Trokan
Band 1802,Hubert Haensel,male,a1,1996.0,l1,Solsystem
Band 1803,Hubert Haensel,male,a1,1996.0,l1,Trokan
Band 1803,Hubert Haensel,male,a1,1996.0,l2,Solsystem
Band 1804,Arndt Ellmer,male,a1,1996.0,l1,Solsystem
Band 1805,Peter Terrid,male,a1,1996.0,l1,Brücke in die Unendlichkeit
Band 1806,Peter Griese,male,a1,1996.0,l1,intergalaktischer Leerraum
Band 1806,Peter Griese,male,a1,1996.0,l2,Brücke in die Unendlichkeit
Band 1807,H. G. Francis,male,a1,1996.0,l1,Solsystem
Band 1807,H. G. Francis,male,a1,1996.0,l2,Milchstraße
Band 1808,Susan Schwartz,female,a1,1996.0,l1,Lafayette
Band 1809,Horst Hoffmann,male,a1,1996.0,l1,Milchstraße
Band 181,William Voltz,male,a1,1965.0,l1,Greendoor
Band 1810,Arndt Ellmer,male,a1,1996.0,l1,Milchstraße
Band 1811,H. G. Francis,male,a1,1996.0,l1,Milchstraße
Band 1812,Ernst Vlcek,male,a1,1996.0,l1,Milchstraße
Band 1813,Peter Griese,male,a1,1996.0,l1,Bröhnder
Band 1813,Peter Griese,male,a1,1996.0,l2,intergalaktischer Leerraum
Band 1814,Robert Feldhoff,male,a1,1996.0,l1,Galorn
Band 1815,Peter Terrid,male,a1,1996.0,l1,Galorn
Band 1816,Peter Terrid,male,a1,1996.0,l1,Galorn
Band 1817,Susan Schwartz,female,a1,1996.0,l1,Lafayette
Band 1818,H. G. Francis,male,a1,1996.0,l1,Halut
Band 1818,H. G. Francis,male,a1,1996.0,l2,Lafayette
Band 1819,Arndt Ellmer,male,a1,1996.0,l1,Lafayette
Band 182,Kurt Mahr,male,a1,1965.0,l1,Plophos
Band 1820,Peter Terrid,male,a1,1996.0,l1,Milchstraße
Band 1821,Peter Terrid,male,a1,1996.0,l1,Milchstraße
Band 1822,Ernst Vlcek,male,a1,1996.0,l1,Camelot
Band 1823,Robert Feldhoff,male,a1,1996.0,l1,Plantagoo
Band 1824,Hubert Haensel,male,a1,1996.0,l1,Zentrifaal-Zentrum
Band 1825,Hubert Haensel,male,a1,1996.0,l1,Zentrifaal-Zentrum und Trieger
Band 1826,Peter Griese,male,a1,1996.0,l1,Bröhnder
Band 1826,Peter Griese,male,a1,1996.0,l2,intergalaktischer Leerraum
Band 1827,Peter Griese,male,a1,1996.0,l1,Bröhnder
Band 1827,Robert Feldhoff,male,a2,1996.0,l1,Bröhnder
Band 1828,Arndt Ellmer,male,a1,1996.0,l1,Milchstraße
Band 1829,H. G. Francis,male,a1,1996.0,l1,Milchstraße
Band 183,William Voltz,male,a1,1965.0,l1,Greendoor
Band 1830,Ernst Vlcek,male,a1,1996.0,l1,Hangay und Milchstraße
Band 1831,Ernst Vlcek,male,a1,1996.0,l1,Lokvorth
Band 1832,Horst Hoffmann,male,a1,1996.0,l1,Lokvorth
Band 1833,Susan Schwartz,female,a1,1996.0,l1,Trokan
Band 1834,Robert Feldhoff,male,a1,1996.0,l1,Plantagoo
Band 1835,Robert Feldhoff,male,a1,1996.0,l1,Tasch-Term
Band 1836,Horst Hoffmann,male,a1,1996.0,l1,Milchstraße und Fornax
Band 1837,Arndt Ellmer,male,a1,1996.0,l1,Milchstraße und Fornax
Band 1838,H. G. Francis,male,a1,1996.0,l1,Bröhnder und Tolkandir
Band 1839,Arndt Ellmer,male,a1,1996.0,l1,Milchstraße und Fornax
Band 184,Clark Darlton,male,a1,1965.0,l1,Plophos
Band 184,Clark Darlton,male,a1,1965.0,l2,Greendoor
Band 184,Clark Darlton,male,a1,1965.0,l3,Huwi
Band 1840,Peter Terrid,male,a1,1996.0,l1,Milchstraße
Band 1841,Horst Hoffmann,male,a1,1996.0,l1,Milchstraße
Band 1842,Hubert Haensel,male,a1,1996.0,l1,Milchstraße
Band 1843,Susan Schwartz,female,a1,1996.0,l1,Plantagoo
Band 1844,Peter Terrid,male,a1,1996.0,l1,Pentrische Wolke
Band 1845,Peter Terrid,male,a1,1997.0,l1,Plantagoo
Band 1846,Hubert Haensel,male,a1,1997.0,l1,Milchstraße
Band 1847,H. G. Francis,male,a1,1997.0,l1,Solsystem
Band 1848,Susan Schwartz,female,a1,1997.0,l1,Solsystem
Band 1849,Robert Feldhoff,male,a1,1997.0,l1,Traumblase
Band 185,Kurt Brand,male,a1,1965.0,l1,Greendoor
Band 185,Kurt Brand,male,a1,1965.0,l2,Badun
Band 1850,Ernst Vlcek,male,a1,1997.0,l1,Milchstraße
Band 1851,Susan Schwartz,female,a1,1997.0,l1,Trokan
Band 1852,Horst Hoffmann,male,a1,1997.0,l1,Pentrische Wolke
Band 1853,Horst Hoffmann,male,a1,1997.0,l1,Plantagoo
Band 1854,Hubert Haensel,male,a1,1997.0,l1,Pentrische Wolke
Band 1855,Arndt Ellmer,male,a1,1997.0,l1,Traumsphäre
Band 1856,Arndt Ellmer,male,a1,1997.0,l1,Traumsphäre
Band 1857,H. G. Francis,male,a1,1997.0,l1,Traumsphäre
Band 1858,Horst Hoffmann,male,a1,1997.0,l1,Milchstraße
Band 1859,Robert Feldhoff,male,a1,1997.0,l1,Terra / Traumsphäre
Band 186,Kurt Brand,male,a1,1965.0,l1,Lovely
Band 1860,Ernst Vlcek,male,a1,1997.0,l1,Suuvar
Band 1861,Peter Terrid,male,a1,1997.0,l1,Solsystem / Traumsphäre
Band 1862,Susan Schwartz,female,a1,1997.0,l1,Solsystem / Traumsphäre
Band 1863,H. G. Francis,male,a1,1997.0,l1,Plantagoo
Band 1864,Horst Hoffmann,male,a1,1997.0,l1,Plantagoo
Band 1865,Horst Hoffmann,male,a1,1997.0,l1,Plantagoo
Band 1866,Hubert Haensel,male,a1,1997.0,l1,Milchstraße
Band 1867,Robert Feldhoff,male,a1,1997.0,l1,Arkon
Band 1868,Susan Schwartz,female,a1,1997.0,l1,Milchstraße
Band 1869,Susan Schwartz,female,a1,1997.0,l1,Milchstraße
Band 187,Kurt Mahr,male,a1,1965.0,l1,Kahalo
Band 1870,Ernst Vlcek,male,a1,1997.0,l1,Milchstraße
Band 1871,Arndt Ellmer,male,a1,1997.0,l1,Mystery
Band 1871,Arndt Ellmer,male,a1,1997.0,l2,Große Leere
Band 1872,Arndt Ellmer,male,a1,1997.0,l1,Mystery
Band 1872,Arndt Ellmer,male,a1,1997.0,l2,Große Leere
Band 1873,Hubert Haensel,male,a1,1997.0,l1,Plantagoo
Band 1874,Robert Feldhoff,male,a1,1997.0,l1,Plantagoo
Band 1875,Robert Feldhoff,male,a1,1997.0,l1,Plantagoo und Solsystem
Band 1876,Horst Hoffmann,male,a1,1997.0,l1,Solsystem und Camelot
Band 1877,Horst Hoffmann,male,a1,1997.0,l1,Solsystem
Band 1878,Arndt Ellmer,male,a1,1997.0,l1,Solsystem
Band 1879,Ernst Vlcek,male,a1,1997.0,l1,Solsystem
Band 188,K. H. Scheer,male,a1,1965.0,l1,Das All
Band 188,K. H. Scheer,male,a1,1965.0,l2,Roost
Band 1880,Ernst Vlcek,male,a1,1997.0,l1,Solsystem
Band 1881,H. G. Francis,male,a1,1997.0,l1,Terra
Band 1882,H. G. Francis,male,a1,1997.0,l1,Terra
Band 1883,Robert Feldhoff,male,a1,1997.0,l1,Teuller-System
Band 1884,Peter Terrid,male,a1,1997.0,l1,Teuller-System
Band 1885,Peter Terrid,male,a1,1997.0,l1,Teuller-System
Band 1886,Susan Schwartz,female,a1,1997.0,l1,Terra
Band 1887,Hubert Haensel,male,a1,1997.0,l1,Terra
Band 1888,Hubert Haensel,male,a1,1997.0,l1,Terra
Band 1889,H. G. Francis,male,a1,1997.0,l1,Terra
Band 189,Clark Darlton,male,a1,1965.0,l1,Mars
Band 1890,Robert Feldhoff,male,a1,1997.0,l1,Shaogen-Himmelreich
Band 1891,Horst Hoffmann,male,a1,1997.0,l1,Shaogen-Himmelreich
Band 1892,Horst Hoffmann,male,a1,1997.0,l1,Shaogen-Himmelreich
Band 1893,Arndt Ellmer,male,a1,1997.0,l1,Shaogen-Himmelreich
Band 1894,Susan Schwartz,female,a1,1997.0,l1,Shaogen-Himmelreich
Band 1895,Arndt Ellmer,male,a1,1997.0,l1,GK 876
Band 1896,Susan Schwartz,female,a1,1997.0,l1,Siga
Band 1897,Arndt Ellmer,male,a1,1997.0,l1,Siga
Band 1898,Peter Terrid,male,a1,1998.0,l1,System von Gladors Stern
Band 1899,Horst Hoffmann,male,a1,1998.0,l1,Shaogen-Himmelreich
Band 1899,Horst Hoffmann,male,a1,1998.0,l2,Deltaraum
Band 19,K. H. Scheer,male,a1,1962.0,l1,Wanderer
Band 19,K. H. Scheer,male,a1,1962.0,l2,Ferrol
Band 190,Clark Darlton,male,a1,1965.0,l1,Roost
Band 190,Clark Darlton,male,a1,1965.0,l2,Simban-Sektor
Band 1900,Robert Feldhoff,male,a1,1998.0,l1,Solsystem
Band 1900,Robert Feldhoff,male,a1,1998.0,l2,Baolin-Deltaraum
Band 1901,Hubert Haensel,male,a1,1998.0,l1,Solsystem
Band 1901,Hubert Haensel,male,a1,1998.0,l2,Deltaraum
Band 1901,Hubert Haensel,male,a1,1998.0,l3,Gorhoon
Band 1901,Hubert Haensel,male,a1,1998.0,l4,Plantagoo
Band 1901,Hubert Haensel,male,a1,1998.0,l5,DaGlausch/ Salmenghest
Band 1902,Susan Schwartz,female,a1,1998.0,l1,Salmenghest
Band 1902,Susan Schwartz,female,a1,1998.0,l2,Quar-System
Band 1903,Susan Schwartz,female,a1,1998.0,l1,Salmenghest
Band 1903,Susan Schwartz,female,a1,1998.0,l2,Quar-System
Band 1904,Arndt Ellmer,male,a1,1998.0,l1,Fornax
Band 1904,Arndt Ellmer,male,a1,1998.0,l2,Puydor
Band 1905,H. G. Francis,male,a1,1998.0,l1,Puydor
Band 1905,H. G. Francis,male,a1,1998.0,l2,Minzant-System
Band 1906,H. G. Francis,male,a1,1998.0,l1,Puydor
Band 1906,H. G. Francis,male,a1,1998.0,l2,Minzant-System
Band 1907,Ernst Vlcek,male,a1,1998.0,l1,Puydor
Band 1907,Ernst Vlcek,male,a1,1998.0,l2,Minzant-System
Band 1908,Robert Feldhoff,male,a1,1998.0,l1,Salmenghest
Band 1908,Robert Feldhoff,male,a1,1998.0,l2,Propter-System
Band 1909,Robert Feldhoff,male,a1,1998.0,l1,Salmenghest
Band 1909,Robert Feldhoff,male,a1,1998.0,l2,Propter-System
Band 191,William Voltz,male,a1,1965.0,l1,Roost
Band 191,William Voltz,male,a1,1965.0,l2,Simban-Sektor
Band 1910,Arndt Ellmer,male,a1,1998.0,l1,DaGlausch
Band 1910,Arndt Ellmer,male,a1,1998.0,l2,Thorrtimer
Band 1911,H. G. Francis,male,a1,1998.0,l1,DaGlausch
Band 1911,H. G. Francis,male,a1,1998.0,l2,Thorrtimer
Band 1912,Horst Hoffmann,male,a1,1998.0,l1,DaGlausch
Band 1912,Horst Hoffmann,male,a1,1998.0,l2,Thorrtimer-System
Band 1913,Horst Hoffmann,male,a1,1998.0,l1,DaGlausch
Band 1913,Horst Hoffmann,male,a1,1998.0,l2,Thorrtimer-System
Band 1914,Arndt Ellmer,male,a1,1998.0,l1,DaGlausch
Band 1914,Arndt Ellmer,male,a1,1998.0,l2,Kromsoe-System
Band 1915,Peter Terrid,male,a1,1998.0,l1,Puydor
Band 1915,Peter Terrid,male,a1,1998.0,l2,Minzant-System
Band 1916,Peter Terrid,male,a1,1998.0,l1,Puydor
Band 1916,Peter Terrid,male,a1,1998.0,l2,Minzant-System
Band 1917,H. G. Francis,male,a1,1998.0,l1,Puydor
Band 1917,H. G. Francis,male,a1,1998.0,l2,Angeemo-System
Band 1917,H. G. Francis,male,a1,1998.0,l3,Artirur-System
Band 1918,Ernst Vlcek,male,a1,1998.0,l1,Puydor
Band 1918,Ernst Vlcek,male,a1,1998.0,l2,Artirur-System
Band 1919,Susan Schwartz,female,a1,1998.0,l1,DaGlausch
Band 1919,Susan Schwartz,female,a1,1998.0,l2,Leilanz-System
Band 192,William Voltz,male,a1,1965.0,l1,Simban-Sektor
Band 1920,Hubert Haensel,male,a1,1998.0,l1,DaGlausch
Band 1920,Hubert Haensel,male,a1,1998.0,l2,Kromsoe-System
Band 1920,Hubert Haensel,male,a1,1998.0,l3,Thorrtimer-System
