series,author,gender,author_pos,release_year,location_pos,location_name
Band 1065,Peter Griese,male,a1,1982.0,l1,Lokvorth
Band 1066,Ernst Vlcek,male,a1,1982.0,l1,SOL
Band 1067,H. G. Francis,male,a1,1982.0,l1,Prototyp eines Kreuzers der STAR-Klasse von Hans Knößlsdorfer(Abbildung)
Band 1068,Kurt Mahr,male,a1,1982.0,l1,EMschen
Band 1069,H. G. Ewers,male,a1,1982.0,l1,Impuls II
Band 1069,H. G. Ewers,male,a1,1982.0,l2,M 3
Band 107,K. H. Scheer,male,a1,1963.0,l1,Arkon
Band 107,K. H. Scheer,male,a1,1963.0,l2,Blaues System
Band 1070,William Voltz,male,a1,1982.0,l1,M 3
Band 1071,Marianne Sydow,female,a1,1982.0,l1,Orsafal
Band 1072,Ernst Vlcek,male,a1,1982.0,l1,Milchstraße
Band 1072,Ernst Vlcek,male,a1,1982.0,l2,SOL
Band 1073,H. G. Francis,male,a1,1982.0,l1,Frostrubin
Band 1074,K. H. Scheer,male,a1,1982.0,l1,M 3
Band 1075,Marianne Sydow,female,a1,1982.0,l1,Fünf-Planeten-Anlage
Band 1076,Horst Hoffmann,male,a1,1982.0,l1,Fünf-Planeten-Anlage
Band 1077,Detlev G. Winter,male,a1,1982.0,l1,Fünf-Planeten-Anlage
Band 1078,Kurt Mahr,male,a1,1982.0,l1,Milchstraße
Band 1079,H. G. Francis,male,a1,1982.0,l1,bei TRIICLE-9
Band 108,Kurt Mahr,male,a1,1963.0,l1,Lepso
Band 1080,Horst Hoffmann,male,a1,1982.0,l1,Milchstraße
Band 1081,H. G. Ewers,male,a1,1982.0,l1,Milchstraße
Band 1082,H. G. Ewers,male,a1,1982.0,l1,Solsystem
Band 1083,K. H. Scheer,male,a1,1982.0,l1,Kesnar
Band 1084,Kurt Mahr,male,a1,1982.0,l1,Solsystem
Band 1084,Kurt Mahr,male,a1,1982.0,l2,Geidnerd
Band 1085,Horst Hoffmann,male,a1,1982.0,l1,Terra
Band 1086,William Voltz,male,a1,1982.0,l1,Terra
Band 1087,Marianne Sydow,female,a1,1982.0,l1,Norgan-Tur
Band 1088,Ernst Vlcek,male,a1,1982.0,l1,Norgan-Tur
Band 1089,H. G. Francis,male,a1,1982.0,l1,TRAAYM
Band 1089,H. G. Francis,male,a1,1982.0,l2,XERPHON
Band 1089,H. G. Francis,male,a1,1982.0,l3,Frostrubin
Band 109,Kurt Brand,male,a1,1963.0,l1,Lepso
Band 1090,Kurt Mahr,male,a1,1982.0,l1,Terra
Band 1091,H. G. Ewers,male,a1,1982.0,l1,Milchstraße
Band 1092,H. G. Ewers,male,a1,1982.0,l1,Milchstraße
Band 1093,Detlev G. Winter,male,a1,1982.0,l1,Milchstraße
Band 1094,H. G. Ewers,male,a1,1982.0,l1,Milchstraße
Band 1095,Ernst Vlcek,male,a1,1982.0,l1,Milchstraße
Band 1096,Marianne Sydow,female,a1,1982.0,l1,Milchstraße
Band 1096,Marianne Sydow,female,a1,1982.0,l2,Frostrubin
Band 1097,H. G. Francis,male,a1,1982.0,l1,BASIS
Band 1097,H. G. Francis,male,a1,1982.0,l2,Loudershirk-Station
Band 1098,Kurt Mahr,male,a1,1982.0,l1,Frostrubin
Band 1099,Kurt Mahr,male,a1,1982.0,l1,Solsystem
Band 11,Kurt Mahr,male,a1,1961.0,l1,Ferrol
Band 11,Kurt Mahr,male,a1,1961.0,l2,Wega
Band 110,William Voltz,male,a1,1963.0,l1,Okúl
Band 110,William Voltz,male,a1,1963.0,l2,Terra
Band 1100,William Voltz,male,a1,1982.0,l1,Endlose Armada
Band 1100,William Voltz,male,a1,1982.0,l2,Frostrubin
Band 1100,William Voltz,male,a1,1982.0,l3,Norgan-Tur
Band 1100,William Voltz,male,a1,1982.0,l4,Milchstraße
Band 1101,K. H. Scheer,male,a1,1982.0,l1,Endlose Armada
Band 1102,Clark Darlton,male,a1,1982.0,l1,Endlose Armada
Band 1103,Detlev G. Winter,male,a1,1982.0,l1,Endlose Armada
Band 1104,H. G. Ewers,male,a1,1982.0,l1,Endlose Armada
Band 1105,H. G. Ewers,male,a1,1982.0,l1,Endlose Armada
Band 1106,Kurt Mahr,male,a1,1982.0,l1,Endlose Armada
Band 1107,Kurt Mahr,male,a1,1982.0,l1,Endlose Armada
Band 1108,William Voltz,male,a1,1982.0,l1,M 82
Band 1109,Marianne Sydow,female,a1,1982.0,l1,M 82
Band 111,Clark Darlton,male,a1,1963.0,l1,Okúl
Band 111,Clark Darlton,male,a1,1963.0,l2,Terra
Band 1110,Ernst Vlcek,male,a1,1982.0,l1,M 82
Band 1110,Ernst Vlcek,male,a1,1982.0,l2,Kruste Magno
Band 1111,Horst Hoffmann,male,a1,1982.0,l1,M 82
Band 1112,H. G. Francis,male,a1,1982.0,l1,M 82
Band 1113,H. G. Francis,male,a1,1982.0,l1,M 82 auf der PROXKON
Band 1114,Kurt Mahr,male,a1,1983.0,l1,Srakenduurn
Band 1115,Clark Darlton,male,a1,1983.0,l1,EDEN II
Band 1115,Clark Darlton,male,a1,1983.0,l2,Lepso
Band 1115,Clark Darlton,male,a1,1983.0,l3,Terra
Band 1116,H. G. Ewers,male,a1,1983.0,l1,Terra
Band 1117,H. G. Ewers,male,a1,1983.0,l1,Terra
